member,exp_name,exp_num,block_size,n_layer,n_head,n_embd,batch_size,max_iters,dropout,num_parameters,final_train_loss,final_val_loss,duration,val_train_gap
member3,exp_018_bs128_nl4_nh8_ne128_bsz8_mi25_dr0.2,18,128,4,8,128,8,25,0.2,0.8,3.0586,3.0883,11.3,0.029699999999999616
member3,exp_019_bs128_nl4_nh8_ne128_bsz8_mi50_dr0.1,19,128,4,8,128,8,50,0.1,0.8,2.7573,2.7533,18.99,-0.0040000000000000036
member3,exp_020_bs128_nl4_nh8_ne128_bsz8_mi50_dr0.2,20,128,4,8,128,8,50,0.2,0.8,2.7846,2.7784,19.83,-0.006200000000000205
member3,exp_021_bs128_nl4_nh8_ne128_bsz16_mi25_dr0.1,21,128,4,8,128,16,25,0.1,0.8,2.9815,2.9928,18.97,0.011299999999999866
member3,exp_022_bs128_nl4_nh8_ne128_bsz16_mi25_dr0.2,22,128,4,8,128,16,25,0.2,0.8,3.0189,3.0293,19.38,0.010400000000000187
member3,exp_023_bs128_nl4_nh8_ne128_bsz16_mi50_dr0.1,23,128,4,8,128,16,50,0.1,0.8,2.6969,2.7075,34.47,0.010600000000000165
member3,exp_024_bs128_nl4_nh8_ne128_bsz16_mi50_dr0.2,24,128,4,8,128,16,50,0.2,0.8,2.7238,2.7334,35.34,0.009599999999999831
member3,exp_025_bs128_nl4_nh8_ne256_bsz8_mi25_dr0.1,25,128,4,8,256,8,25,0.1,3.16,2.7242,2.7393,23.63,0.015099999999999891
member3,exp_026_bs128_nl4_nh8_ne256_bsz8_mi25_dr0.2,26,128,4,8,256,8,25,0.2,3.16,2.7345,2.7574,24.05,0.02289999999999992
member3,exp_027_bs128_nl4_nh8_ne256_bsz8_mi50_dr0.1,27,128,4,8,256,8,50,0.1,3.16,2.5894,2.5892,44.32,-0.00019999999999997797
member3,exp_028_bs128_nl4_nh8_ne256_bsz8_mi50_dr0.2,28,128,4,8,256,8,50,0.2,3.16,2.5996,2.5989,45.21,-0.000700000000000145
member3,exp_029_bs128_nl4_nh8_ne256_bsz16_mi25_dr0.1,29,128,4,8,256,16,25,0.1,3.16,2.6764,2.7001,44.41,0.023699999999999832
member3,exp_030_bs128_nl4_nh8_ne256_bsz16_mi25_dr0.2,30,128,4,8,256,16,25,0.2,3.16,2.6929,2.715,44.68,0.02210000000000001
member3,exp_031_bs128_nl4_nh8_ne256_bsz16_mi50_dr0.1,31,128,4,8,256,16,50,0.1,3.16,2.5565,2.5597,83.9,0.0031999999999996476
member3,exp_032_bs128_nl4_nh8_ne256_bsz16_mi50_dr0.2,32,128,4,8,256,16,50,0.2,3.16,2.5687,2.5678,85.2,-0.0009000000000001229
member4,exp_001_bs128_nl6_nh4_ne128_bsz8_mi25_dr0.1,1,128,6,4,128,8,25,0.1,1.19,2.9697,3.0077,13.96,0.03799999999999981
member4,exp_002_bs128_nl6_nh4_ne128_bsz8_mi25_dr0.2,2,128,6,4,128,8,25,0.2,1.19,3.005,3.0451,13.71,0.04010000000000025
member4,exp_003_bs128_nl6_nh4_ne128_bsz8_mi50_dr0.1,3,128,6,4,128,8,50,0.1,1.19,2.7215,2.7194,23.98,-0.0020999999999999908
member4,exp_004_bs128_nl6_nh4_ne128_bsz8_mi50_dr0.2,4,128,6,4,128,8,50,0.2,1.19,2.7436,2.7391,24.3,-0.0044999999999997264
member4,exp_005_bs128_nl6_nh4_ne128_bsz16_mi25_dr0.1,5,128,6,4,128,16,25,0.1,1.19,2.9494,2.9656,23.42,0.016199999999999992
member4,exp_006_bs128_nl6_nh4_ne128_bsz16_mi25_dr0.2,6,128,6,4,128,16,25,0.2,1.19,2.9843,2.9977,23.93,0.013399999999999856
member4,exp_007_bs128_nl6_nh4_ne128_bsz16_mi50_dr0.1,7,128,6,4,128,16,50,0.1,1.19,2.6958,2.6995,43.23,0.0036999999999998145
member4,exp_008_bs128_nl6_nh4_ne128_bsz16_mi50_dr0.2,8,128,6,4,128,16,50,0.2,1.19,2.7146,2.7189,44.11,0.0043000000000001926
member4,exp_009_bs128_nl6_nh4_ne256_bsz8_mi25_dr0.1,9,128,6,4,256,8,25,0.1,4.74,2.7483,2.7349,32.67,-0.013399999999999856
member4,exp_010_bs128_nl6_nh4_ne256_bsz8_mi25_dr0.2,10,128,6,4,256,8,25,0.2,4.74,2.7864,2.7751,32.38,-0.011299999999999866
